Item de configuração,total_incidentes,dias_com_incidente,media_diaria,max_diario,std_diario,indice_ruido,total_manuais_p2p3,correlacao_risco
IC00325,1539,31,49.645161290322584,349,83.95655558565068,16784.71875,0.0,0.0
IC04696,591,9,65.66666666666667,163,64.89799688742328,9633.3,0.0,0.0
IC00947,651,13,50.07692307692308,188,70.01245310474123,8742.0,0.0,0.0
IC01964,653,13,50.23076923076923,175,67.71527873647848,8162.5,0.0,0.0
IC00008,4191,119,35.21848739495798,87,22.38536131230557,3038.475,0.0,0.0
IC00014,6055,122,49.631147540983605,61,5.404621254414741,3002.8861788617887,0.0,0.0
IC00019,4431,122,36.31967213114754,75,22.750267056262945,2701.829268292683,0.0,0.0
,1555,116,13.405172413793103,142,19.926376859645696,1887.2649572649573,57.0,0.036632390745501286
IC03673,544,14,38.857142857142854,46,7.378316911027911,1668.2666666666667,0.0,0.0
IC00024,855,42,20.357142857142858,65,20.17100240392366,1292.4418604651162,0.0,0.0
IC00901,552,27,20.444444444444443,61,22.407645215474208,1202.5714285714287,0.0,0.0
IC00002,3117,122,25.549180327868854,47,9.014315941022284,1191.0487804878048,0.0,0.0
IC04860,632,33,19.151515151515152,54,15.552574570069602,1003.7647058823529,0.0,0.0
IC02761,967,64,15.109375,55,15.421194637498713,818.2307692307693,0.0,0.0
IC02448,976,61,16.0,49,15.618365258033037,771.3548387096774,0.0,0.0
IC02447,972,61,15.934426229508198,49,15.98214509221568,768.1935483870968,0.0,0.0
IC00367,933,63,14.80952380952381,51,16.131373102023336,743.484375,0.0,0.0
IC00511,869,59,14.728813559322035,50,17.0878364769985,724.1666666666666,0.0,0.0
IC00012,358,34,10.529411764705882,54,14.593969892364838,552.3428571428572,0.0,0.0
IC00004,1145,82,13.963414634146341,35,8.759397242286608,482.8313253012048,3.0,0.002617801047120419
IC04857,517,42,12.30952380952381,31,10.547194969229094,372.72093023255815,0.0,0.0
IC03793,43,3,14.333333333333334,31,15.275252316519467,333.25,0.0,0.0
IC03562,123,15,8.2,43,11.595565654902,330.5625,0.0,0.0
IC00630,33,3,11.0,31,17.320508075688775,255.75,2.0,0.058823529411764705
IC02955,21,1,21.0,21,0.0,220.5,0.0,0.0
IC05938,21,1,21.0,21,0.0,220.5,0.0,0.0
IC05937,21,1,21.0,21,0.0,220.5,0.0,0.0
IC05935,21,1,21.0,21,0.0,220.5,0.0,0.0
IC05934,21,1,21.0,21,0.0,220.5,0.0,0.0
IC01984,345,41,8.414634146341463,23,4.837228595777222,188.92857142857142,0.0,0.0
IC05816,25,2,12.5,22,13.435028842544403,183.33333333333334,0.0,0.0
IC00212,263,53,4.962264150943396,29,6.679366230157976,141.24074074074073,0.0,0.0
IC00028,285,47,6.0638297872340425,22,4.659745539419177,130.625,5.0,0.017482517482517484
IC03016,16,1,16.0,16,0.0,128.0,0.0,0.0
IC00048,364,76,4.7894736842105265,27,5.617391540501537,127.63636363636364,0.0,0.0
IC00009,247,58,4.258620689655173,30,6.117447996832536,125.59322033898304,1.0,0.004032258064516129
IC00100,689,128,5.3828125,22,4.585360295051313,117.50387596899225,0.0,0.0
IC00665,26,4,6.5,22,10.344080432788601,114.4,0.0,0.0
IC00873,15,1,15.0,15,0.0,112.5,0.0,0.0
IC00875,15,1,15.0,15,0.0,112.5,7.0,0.4375
IC02283,49,6,8.166666666666666,16,6.013872850889572,112.0,1.0,0.02
IC00034,275,51,5.392156862745098,21,5.1733100868691375,111.0576923076923,15.0,0.05434782608695652
IC00094,153,33,4.636363636363637,24,5.372488842579048,108.0,0.0,0.0
IC00032,822,121,6.793388429752066,16,3.0493642926898192,107.80327868852459,0.0,0.0
IC00248,18,2,9.0,17,11.313708498984761,102.0,2.0,0.10526315789473684
IC00623,14,1,14.0,14,0.0,98.0,3.0,0.2
IC00093,162,41,3.951219512195122,25,4.868014068961774,96.42857142857143,0.0,0.0
IC00930,181,59,3.0677966101694913,31,4.097368401790142,93.51666666666667,0.0,0.0
IC03887,30,3,10.0,12,1.7320508075688772,90.0,0.0,0.0
IC04105,13,1,13.0,13,0.0,84.5,0.0,0.0
IC04627,13,1,13.0,13,0.0,84.5,0.0,0.0
IC00880,16,2,8.0,15,9.899494936611665,80.0,7.0,0.4117647058823529
IC00007,518,116,4.4655172413793105,18,2.950109900628637,79.6923076923077,0.0,0.0
IC00270,89,25,3.56,23,4.735328218121034,78.73076923076923,0.0,0.0
IC02989,145,25,5.8,14,4.08248290463863,78.07692307692308,0.0,0.0
IC01906,25,4,6.25,15,6.075908711186061,75.0,0.0,0.0
IC00458,143,26,5.5,14,3.8392707640904935,74.14814814814815,0.0,0.0
IC00060,174,39,4.461538461538462,17,3.705232103292755,73.95,3.0,0.017142857142857144
IC00146,79,22,3.590909090909091,21,4.327751983355473,72.1304347826087,2.0,0.025
IC02238,12,1,12.0,12,0.0,72.0,0.0,0.0
IC00153,199,56,3.5535714285714284,20,3.9354779904081556,69.82456140350877,28.0,0.14
IC00015,111,23,4.826086956521739,15,3.8216152452862064,69.375,5.0,0.044642857142857144
IC00029,154,35,4.4,15,3.6957845620939223,64.16666666666667,13.0,0.08387096774193549
IC00877,17,3,5.666666666666667,15,8.082903768654761,63.75,1.0,0.05555555555555555
IC00882,17,3,5.666666666666667,15,8.082903768654761,63.75,2.0,0.1111111111111111
IC00876,17,3,5.666666666666667,15,8.082903768654761,63.75,1.0,0.05555555555555555
IC00878,17,3,5.666666666666667,15,8.082903768654761,63.75,2.0,0.1111111111111111
IC00058,263,53,4.962264150943396,13,2.915227027383996,63.31481481481482,10.0,0.03787878787878788
IC00174,125,36,3.4722222222222223,18,3.5414775859891434,60.810810810810814,14.0,0.1111111111111111
IC01939,14,2,7.0,13,8.48528137423857,60.666666666666664,0.0,0.0
IC00006,147,32,4.59375,13,3.9173672445958214,57.90909090909091,10.0,0.06756756756756757
IC02864,20,4,5.0,14,6.164414002968976,56.0,0.0,0.0
IC00879,16,3,5.333333333333333,14,7.505553499465136,56.0,2.0,0.11764705882352941
IC00128,89,34,2.6176470588235294,22,3.668165307090536,55.94285714285714,7.0,0.07777777777777778
IC00070,208,48,4.333333333333333,13,2.434969817920624,55.183673469387756,13.0,0.06220095693779904
IC00114,199,47,4.23404255319149,13,2.8377330661412814,53.895833333333336,13.0,0.065
IC00148,186,44,4.2272727272727275,13,3.633587735402409,53.733333333333334,17.0,0.09090909090909091
IC00097,304,69,4.405797101449275,12,2.77233624445961,52.114285714285714,8.0,0.02622950819672131
IC00147,94,21,4.476190476190476,12,3.5159500511106185,51.27272727272727,4.0,0.042105263157894736
IC01152,21,4,5.25,12,4.7871355387816905,50.4,0.0,0.0
IC02549,46,11,4.181818181818182,13,4.423079963513701,49.833333333333336,0.0,0.0
IC00051,149,50,2.98,17,4.02284293828661,49.666666666666664,0.0,0.0
IC01956,45,13,3.4615384615384617,15,3.950008114240286,48.214285714285715,0.0,0.0
IC00715,16,3,5.333333333333333,12,5.773502691896257,48.0,0.0,0.0
IC01118,20,4,5.0,12,4.8304589153964805,48.0,0.0,0.0
IC04893,43,9,4.777777777777778,11,4.116363011742823,47.3,0.0,0.0
IC00133,87,23,3.782608695652174,13,3.118223878765405,47.125,4.0,0.045454545454545456
IC01240,15,3,5.0,12,6.082762530298219,45.0,2.0,0.125
IC00389,170,60,2.8333333333333335,16,2.9004188281231165,44.59016393442623,22.0,0.1286549707602339
IC00266,264,65,4.061538461538461,11,2.2141372690404375,44.0,5.0,0.018867924528301886
IC00108,98,28,3.5,13,3.0,43.93103448275862,18.0,0.18181818181818182
IC00003,349,95,3.6736842105263157,12,3.0681691306233003,43.625,0.0,0.0
IC00085,117,45,2.6,17,2.766684921443975,43.23913043478261,7.0,0.059322033898305086
IC00219,114,52,2.1923076923076925,20,3.3899416475888366,43.0188679245283,0.0,0.0
IC00016,172,39,4.410256410256411,10,3.217697351882723,43.0,1.0,0.005780346820809248
IC01492,58,18,3.2222222222222223,14,3.2998316455372216,42.73684210526316,0.0,0.0
IC00124,80,24,3.3333333333333335,13,2.8691260094270894,41.6,17.0,0.20987654320987653
IC00874,22,7,3.142857142857143,15,5.241773600241666,41.25,1.0,0.043478260869565216
IC02981,9,1,9.0,9,0.0,40.5,0.0,0.0
IC05993,9,1,9.0,9,0.0,40.5,0.0,0.0
IC02460,9,1,9.0,9,0.0,40.5,0.0,0.0
IC00720,50,19,2.6315789473684212,16,4.098922979349975,40.0,0.0,0.0
IC04856,31,6,5.166666666666667,9,3.2506409624359724,39.857142857142854,0.0,0.0
IC00759,56,16,3.5,12,3.03315017762062,39.529411764705884,0.0,0.0
IC00122,126,44,2.8636363636363638,14,2.455093510187181,39.2,13.0,0.10236220472440945
IC00184,204,67,3.044776119402985,13,2.21176493230739,39.0,6.0,0.02926829268292683
IC00191,136,42,3.238095238095238,12,2.3972496823420304,37.95348837209303,2.0,0.014598540145985401
IC00141,125,39,3.2051282051282053,12,3.0015740360113092,37.5,7.0,0.05555555555555555
IC00379,83,30,2.7666666666666666,14,3.0702502799623996,37.483870967741936,27.0,0.32142857142857145
IC00131,74,21,3.5238095238095237,11,2.3583690894142846,37.0,2.0,0.02666666666666667
IC01806,23,6,3.8333333333333335,11,3.9707262140150967,36.142857142857146,1.0,0.041666666666666664
IC01904,36,13,2.769230769230769,14,3.585941209637207,36.0,0.0,0.0
IC00936,45,19,2.3684210526315788,16,3.4352830437451987,36.0,7.0,0.15217391304347827
IC00764,119,42,2.8333333333333335,13,3.3343494386254404,35.97674418604651,0.0,0.0
IC02991,96,26,3.6923076923076925,10,2.37939876051461,35.55555555555556,0.0,0.0
IC00364,372,107,3.4766355140186915,10,1.8750889004963451,34.44444444444444,0.0,0.0
IC02383,17,3,5.666666666666667,8,2.516611478423583,34.0,0.0,0.0
IC00017,85,24,3.5416666666666665,10,3.1343700104357235,34.0,4.0,0.046511627906976744
IC00138,144,46,3.130434782608696,11,2.473043070588442,33.702127659574465,5.0,0.034482758620689655
IC01642,18,6,3.0,13,4.898979485566356,33.42857142857143,0.0,0.0
IC01250,58,20,2.9,12,2.9894551519069754,33.142857142857146,0.0,0.0
IC00057,346,105,3.295238095238095,10,1.9948192974061658,32.64150943396226,0.0,0.0
IC00033,105,38,2.763157894736842,12,2.530187585464503,32.30769230769231,6.0,0.05660377358490566
IC02826,8,1,8.0,8,0.0,32.0,0.0,0.0
IC04898,8,1,8.0,8,0.0,32.0,0.0,0.0
IC03644,53,14,3.7857142857142856,9,2.4235565546581275,31.8,1.0,0.018518518518518517
