Grupo designado,Prioridade,prob_media_violacao,total_incidentes,violacoes_reais,perc_risco,nivel
Team06,2 - Alta,0.6274431,4,0,62.7,ALTO
Team08,3 - Média,0.5946486,15,0,59.5,MÉDIO
Team08,2 - Alta,0.5798912,48,3,58.0,MÉDIO
Team03,3 - Média,0.55311793,185,6,55.3,MÉDIO
Team09,2 - Alta,0.5467551,673,19,54.7,MÉDIO
Team07,3 - Média,0.54344845,153,14,54.3,MÉDIO
Team06,3 - Média,0.5382407,36,4,53.8,MÉDIO
Team02,3 - Média,0.53795373,157,3,53.8,MÉDIO
Team01,2 - Alta,0.53636867,6,0,53.6,MÉDIO
Team07,2 - Alta,0.5356542,27,2,53.6,MÉDIO
Team09,3 - Média,0.53537995,1387,37,53.5,MÉDIO
Team03,2 - Alta,0.5345153,234,6,53.5,MÉDIO
Team02,2 - Alta,0.5251987,94,1,52.5,MÉDIO
Team12,3 - Média,0.5245748,275,6,52.5,MÉDIO
Team01,3 - Média,0.5231076,39,1,52.3,MÉDIO
Team12,2 - Alta,0.51878047,124,2,51.9,MÉDIO
Team11,2 - Alta,0.5099865,56,2,51.0,MÉDIO
Team10,3 - Média,0.4880765,110,1,48.8,MÉDIO
Team10,2 - Alta,0.47737706,49,0,47.7,MÉDIO
Team04,2 - Alta,0.47494838,11,0,47.5,MÉDIO
Team16,3 - Média,0.4473719,137,1,44.7,MÉDIO
Team04,3 - Média,0.44647676,5,0,44.6,MÉDIO
Team11,3 - Média,0.4436575,8646,112,44.4,MÉDIO
Team16,2 - Alta,0.41411245,15,1,41.4,MÉDIO
Team17,3 - Média,0.39327535,384,4,39.3,MÉDIO
Team17,2 - Alta,0.37349254,113,0,37.3,MÉDIO
Team15,3 - Média,0.35085398,8,0,35.1,MÉDIO
Team15,2 - Alta,0.34423748,42,0,34.4,BAIXO
Team05,3 - Média,0.3410663,2992,9,34.1,BAIXO
Team05,2 - Alta,0.31860197,747,4,31.9,BAIXO
Team14,3 - Média,0.300211,6024,8,30.0,BAIXO
Team14,2 - Alta,0.29594687,2954,2,29.6,BAIXO
